# Serial Log - 2026-04-11T16:49:27.742250
# Port: COM24 @ 115200bps
#============================================================
[16:49:27.751] ,-1927.00
[16:49:44.233] -606.00,-2082.00,-1105.00
[16:49:44.273] -550.00,-2108.00,-1128.00
[16:49:44.310] -482.00,-2161.00,-1151.00
[16:49:44.351] -360.00,-2185.00,-1141.00
[16:49:44.390] -188.00,-2253.00,-1097.00
[16:49:44.431] -47.00,-2317.00,-1056.00
[16:49:44.471] 47.00,-2320.00,-1033.00
[16:49:44.511] 93.00,-2320.00,-1031.00
[16:49:44.550] 117.00,-2332.00,-1063.00
[16:49:44.592] 122.00,-2341.00,-1066.00
[16:49:44.632] 142.00,-2322.00,-1090.00
[16:49:44.671] 178.00,-2325.00,-1102.00
[16:49:44.711] 257.00,-2325.00,-1113.00
[16:49:44.753] 350.00,-2317.00,-1095.00
[16:49:44.791] 467.00,-2296.00,-1102.00
[16:49:44.831] 511.00,-2296.00,-1100.00
[16:49:44.871] 575.00,-2275.00,-1107.00
[16:49:44.910] 587.00,-2272.00,-1146.00
[16:49:44.951] 580.00,-2258.00,-1160.00
[16:49:44.990] 516.00,-2280.00,-1128.00
[16:49:45.031] 377.00,-2315.00,-1072.00
[16:49:45.070] 232.00,-2338.00,-1038.00
[16:49:45.111] -61.00,-2332.00,-971.00
[16:49:45.151] -487.00,-2185.00,-912.00
[16:49:45.191] -823.00,-1958.00,-855.00
[16:49:45.230] -1105.00,-1678.00,-752.00
[16:49:45.271] -1258.00,-1317.00,-612.00
[16:49:45.312] -1352.00,-980.00,-486.00
[16:49:45.350] -1322.00,-550.00,-352.00
[16:49:45.390] -1227.00,-281.00,-301.00
[16:49:45.430] -997.00,110.00,-352.00
[16:49:45.473] -810.00,318.00,-432.00
[16:49:45.510] -616.00,485.00,-510.00
[16:49:45.550] -428.00,580.00,-538.00
[16:49:45.592] -372.00,597.00,-563.00
[16:49:45.631] -213.00,663.00,-566.00
[16:49:45.671] -173.00,656.00,-582.00
[16:49:45.711] -163.00,666.00,-615.00
[16:49:45.751] -142.00,675.00,-638.00
[16:49:45.790] -122.00,680.00,-667.00
[16:49:45.830] -98.00,682.00,-731.00
[16:49:45.871] -98.00,682.00,-813.00
[16:49:45.910] -91.00,675.00,-866.00
[16:49:45.950] -78.00,663.00,-857.00
[16:49:45.991] -86.00,687.00,-922.00
[16:49:46.031] -101.00,666.00,-937.00
[16:49:46.071] -37.00,671.00,-893.00
[16:49:46.110] -27.00,680.00,-878.00
[16:49:46.150] 73.00,695.00,-798.00
[16:49:46.176] 78.00,711.00,-791.00
[16:49:46.231] 88.00,697.00,-816.00
[16:49:46.272] 125.00,701.00,-816.00
[16:49:46.310] 117.00,703.00,-860.00
[16:49:46.350] 117.00,690.00,-866.00
[16:49:46.393] 137.00,692.00,-871.00
[16:49:46.432] 120.00,692.00,-896.00
[16:49:46.471] 120.00,680.00,-930.00
[16:49:46.510] 91.00,675.00,-945.00
[16:49:46.550] 98.00,658.00,-1025.00
[16:49:46.591] 78.00,635.00,-1090.00
[16:49:46.631] 63.00,632.00,-1105.00
[16:49:46.671] 35.00,616.00,-1133.00
[16:49:46.709] 5.00,603.00,-1138.00
[16:49:46.750] -12.00,623.00,-1102.00
[16:49:46.791] -15.00,613.00,-1105.00
[16:49:46.831] -40.00,623.00,-1066.00
[16:49:46.870] -83.00,635.00,-1036.00
[16:49:46.911] -125.00,645.00,-995.00
[16:49:46.952] -157.00,630.00,-966.00
[16:49:46.991] -211.00,647.00,-891.00
[16:49:47.030] -232.00,656.00,-827.00
[16:49:47.070] -250.00,661.00,-731.00
[16:49:47.111] -232.00,658.00,-628.00
[16:49:47.150] -232.00,658.00,-628.00
[16:49:47.191] -145.00,658.00,-398.00
[16:49:47.230] -47.00,606.00,-151.00
[16:49:47.269] 2.00,547.00,10.00
[16:49:47.312] 117.00,387.00,257.00
[16:49:47.351] 181.00,257.00,398.00
[16:49:47.392] 201.00,210.00,450.00
[16:49:47.430] 216.00,165.00,486.00
[16:49:47.473] 213.00,145.00,495.00
[16:49:47.512] 281.00,138.00,512.00
[16:49:47.550] 416.00,121.00,520.00
[16:49:47.590] 552.00,136.00,486.00
[16:49:47.631] 705.00,168.00,398.00
[16:49:47.670] 833.00,176.00,316.00
[16:49:47.710] 1030.00,238.00,90.00
[16:49:47.742] 1088.00,300.00,-53.00
[16:49:47.792] 1135.00,347.00,-185.00
[16:49:47.831] 1127.00,397.00,-288.00
[16:49:47.871] 1102.00,428.00,-386.00
[16:49:47.910] 1073.00,471.00,-476.00
[16:49:47.950] 1032.00,518.00,-607.00
[16:49:47.992] 995.00,532.00,-682.00
[16:49:48.030] 936.00,550.00,-775.00
[16:49:48.071] 907.00,558.00,-835.00
[16:49:48.110] 885.00,563.00,-927.00
[16:49:48.151] 882.00,547.00,-968.00
[16:49:48.191] 812.00,521.00,-1095.00
[16:49:48.231] 775.00,523.00,-1170.00
[16:49:48.270] 687.00,535.00,-1218.00
[16:49:48.310] 618.00,537.00,-1228.00
[16:49:48.351] 552.00,590.00,-1208.00
[16:49:48.390] 433.00,608.00,-1216.00
[16:49:48.430] 308.00,635.00,-1208.00
[16:49:48.471] 247.00,623.00,-1242.00
[16:49:48.511] 181.00,611.00,-1291.00
[16:49:48.551] 130.00,580.00,-1330.00
[16:49:48.591] 66.00,542.00,-1373.00
[16:49:48.630] -5.00,535.00,-1391.00
[16:49:48.672] -140.00,508.00,-1396.00
[16:49:48.711] -242.00,500.00,-1381.00
[16:49:48.751] -311.00,511.00,-1335.00
[16:49:48.791] -311.00,526.00,-1332.00
[16:49:48.830] -240.00,518.00,-1350.00
[16:49:48.872] -127.00,502.00,-1410.00
[16:49:48.910] 63.00,466.00,-1490.00
[16:49:48.950] 335.00,405.00,-1561.00
[16:49:48.990] 585.00,316.00,-1551.00
[16:49:49.030] 795.00,186.00,-1556.00
[16:49:49.071] 976.00,62.00,-1553.00
[16:49:49.110] 1102.00,-33.00,-1515.00
[16:49:49.152] 1225.00,-195.00,-1510.00
[16:49:49.190] 1258.00,-276.00,-1505.00
[16:49:49.231] 1317.00,-542.00,-1528.00
[16:49:49.272] 1325.00,-668.00,-1558.00
[16:49:49.311] 1306.00,-861.00,-1602.00
[16:49:49.349] 1245.00,-1030.00,-1641.00
[16:49:49.391] 1210.00,-1130.00,-1650.00
