# Serial Log - 2026-04-18T18:22:06.119313
# Port: COM36 @ 115200bps
#============================================================
[18:22:13.078] imu_att:-0.139,-10.604,-2.109,-178.972,-2.644,-3.097
[18:22:13.078] imu_mag3:-662.317,-87.826,-1699.733
[18:22:13.117] imu_att:-0.265,-12.269,-2.000,-179.546,-2.865,-2.922
[18:22:13.119] imu_mag3:-610.983,-83.816,-1736.785
[18:22:13.157] imu_att:-0.145,-14.079,-1.880,-178.371,-2.124,-2.710
[18:22:13.158] imu_mag3:-565.770,-97.120,-1739.708
[18:22:13.196] imu_att:-0.059,-15.151,-1.819,-178.578,-1.789,-2.493
[18:22:13.197] imu_mag3:-535.139,-91.697,-1751.095
[18:22:13.238] imu_att:-0.338,-16.427,-1.740,-178.939,-2.237,-2.361
[18:22:13.238] imu_mag3:-525.303,-93.635,-1745.939
[18:22:13.277] imu_att:0.135,-16.846,-1.731,-176.906,-1.206,-2.285
[18:22:13.278] imu_mag3:-515.637,-112.145,-1758.013
[18:22:13.317] imu_att:0.186,-16.456,-1.813,-177.200,-0.992,-2.184
[18:22:13.318] imu_mag3:-505.705,-105.972,-1768.373
[18:22:13.356] imu_att:-0.200,-16.024,-1.842,-177.915,-1.291,-1.998
[18:22:13.357] imu_mag3:-505.705,-105.972,-1768.373
[18:22:13.398] imu_att:-0.249,-15.876,-1.837,-178.832,-2.437,-2.030
[18:22:13.399] imu_mag3:-515.434,-93.365,-1758.271
[18:22:13.437] imu_att:-0.103,-15.801,-1.841,-179.474,-2.753,-2.160
[18:22:13.438] imu_mag3:-522.187,-80.387,-1773.849
[18:22:13.477] imu_att:-0.149,-15.826,-1.833,-178.196,-2.090,-2.211
[18:22:13.478] imu_mag3:-522.410,-101.103,-1776.646
