# Serial Log - 2026-04-11T15:45:25.750008
# Port: COM24 @ 115200bps
#============================================================
[15:45:38.391] -590.00,207.00,-1495.00
[15:45:38.431] -682.00,157.00,-1478.00
[15:45:38.474] -815.00,55.00,-1466.00
[15:45:38.512] -880.00,15.00,-1476.00
[15:45:38.554] -997.00,-121.00,-1453.00
[15:45:38.591] -1071.00,-226.00,-1430.00
[15:45:38.633] -1151.00,-373.00,-1440.00
[15:45:38.672] -1168.00,-487.00,-1422.00
[15:45:38.713] -1227.00,-666.00,-1425.00
[15:45:38.751] -1242.00,-856.00,-1437.00
[15:45:38.793] -1217.00,-965.00,-1453.00
[15:45:38.833] -1191.00,-1065.00,-1476.00
[15:45:38.872] -1161.00,-1106.00,-1510.00
[15:45:38.910] -1161.00,-1106.00,-1510.00
[15:45:38.953] -1146.00,-1086.00,-1512.00
[15:45:38.993] -1158.00,-1072.00,-1515.00
[15:45:39.033] -1176.00,-1062.00,-1510.00
[15:45:39.071] -1183.00,-1062.00,-1495.00
[15:45:39.113] -1196.00,-1067.00,-1487.00
[15:45:39.153] -1205.00,-1106.00,-1473.00
[15:45:39.193] -1183.00,-1162.00,-1458.00
[15:45:39.233] -1148.00,-1267.00,-1463.00
[15:45:39.271] -1110.00,-1391.00,-1448.00
[15:45:39.310] -1041.00,-1512.00,-1471.00
[15:45:39.353] -928.00,-1663.00,-1487.00
[15:45:39.391] -772.00,-1781.00,-1510.00
[15:45:39.432] -590.00,-1895.00,-1551.00
[15:45:39.472] -327.00,-1971.00,-1590.00
[15:45:39.513] -181.00,-2008.00,-1602.00
[15:45:39.553] -122.00,-2027.00,-1618.00
[15:45:39.592] 188.00,-2035.00,-1605.00
[15:45:39.631] 250.00,-2030.00,-1597.00
[15:45:39.671] 380.00,-2006.00,-1575.00
[15:45:39.712] 421.00,-2008.00,-1570.00
[15:45:39.752] 450.00,-1997.00,-1553.00
[15:45:39.792] 455.00,-2021.00,-1543.00
[15:45:39.833] 450.00,-2018.00,-1528.00
[15:45:39.872] 470.00,-2025.00,-1526.00
[15:45:39.913] 506.00,-2008.00,-1522.00
[15:45:39.953] 533.00,-2011.00,-1528.00
[15:45:39.992] 601.00,-1940.00,-1533.00
[15:45:40.031] 643.00,-1937.00,-1551.00
[15:45:40.074] 702.00,-1878.00,-1577.00
[15:45:40.112] 831.00,-1750.00,-1595.00
[15:45:40.151] 943.00,-1647.00,-1600.00
[15:45:40.192] 1012.00,-1547.00,-1595.00
[15:45:40.233] 1083.00,-1428.00,-1613.00
[15:45:40.272] 1140.00,-1326.00,-1587.00
[15:45:40.313] 1196.00,-1203.00,-1587.00
[15:45:40.339] 1193.00,-1130.00,-1600.00
[15:45:40.392] 1235.00,-1067.00,-1580.00
[15:45:40.433] 1245.00,-1001.00,-1543.00
[15:45:40.472] 1258.00,-941.00,-1533.00
[15:45:40.511] 1283.00,-896.00,-1541.00
[15:45:40.550] 1288.00,-835.00,-1531.00
[15:45:40.593] 1286.00,-777.00,-1522.00
[15:45:40.631] 1258.00,-745.00,-1543.00
[15:45:40.673] 1258.00,-735.00,-1556.00
[15:45:40.711] 1245.00,-701.00,-1575.00
[15:45:40.750] 1210.00,-695.00,-1587.00
[15:45:40.793] 1202.00,-666.00,-1611.00
[15:45:40.833] 1193.00,-632.00,-1613.00
[15:45:40.871] 1188.00,-632.00,-1626.00
[15:45:40.911] 1183.00,-621.00,-1621.00
[15:45:40.953] 1191.00,-630.00,-1623.00
[15:45:40.993] 1198.00,-618.00,-1605.00
[15:45:41.031] 1193.00,-640.00,-1623.00
[15:45:41.071] 1193.00,-640.00,-1623.00
[15:45:41.113] 1198.00,-651.00,-1613.00
[15:45:41.152] 1215.00,-630.00,-1600.00
[15:45:41.192] 1193.00,-630.00,-1592.00
[15:45:41.231] 1198.00,-616.00,-1602.00
[15:45:41.273] 1186.00,-608.00,-1605.00
[15:45:41.313] 1188.00,-616.00,-1600.00
[15:45:41.353] 1181.00,-595.00,-1613.00
[15:45:41.391] 1188.00,-603.00,-1605.00
[15:45:41.431] 1207.00,-600.00,-1621.00
[15:45:41.473] 1196.00,-592.00,-1602.00
[15:45:41.512] 1191.00,-600.00,-1605.00
[15:45:41.541] 1198.00,-590.00,-1618.00
[15:45:41.579] 1186.00,-608.00,-1602.00
[15:45:41.633] 1186.00,-597.00,-1613.00
[15:45:41.673] 1188.00,-608.00,-1608.00
[15:45:41.712] 1183.00,-611.00,-1611.00
[15:45:41.751] 1188.00,-621.00,-1608.00
[15:45:41.791] 1202.00,-671.00,-1600.00
[15:45:41.833] 1196.00,-718.00,-1595.00
[15:45:41.871] 1212.00,-753.00,-1616.00
[15:45:41.913] 1207.00,-811.00,-1611.00
[15:45:41.951] 1183.00,-870.00,-1623.00
[15:45:41.991] 1163.00,-925.00,-1672.00
[15:45:42.033] 1102.00,-985.00,-1728.00
[15:45:42.071] 1066.00,-1030.00,-1757.00
[15:45:42.112] 978.00,-1112.00,-1820.00
[15:45:42.151] 895.00,-1181.00,-1858.00
[15:45:42.193] 815.00,-1255.00,-1873.00
[15:45:42.231] 743.00,-1383.00,-1888.00
[15:45:42.272] 677.00,-1500.00,-1868.00
[15:45:42.312] 613.00,-1573.00,-1842.00
[15:45:42.351] 575.00,-1636.00,-1842.00
[15:45:42.393] 526.00,-1683.00,-1835.00
[15:45:42.433] 442.00,-1718.00,-1822.00
[15:45:42.472] 367.00,-1745.00,-1832.00
[15:45:42.511] 296.00,-1747.00,-1847.00
[15:45:42.545] 235.00,-1733.00,-1876.00
[15:45:42.592] 235.00,-1733.00,-1876.00
[15:45:42.632] 93.00,-1642.00,-1943.00
[15:45:42.671] 22.00,-1557.00,-1976.00
[15:45:42.713] -76.00,-1552.00,-1987.00
[15:45:42.752] -171.00,-1555.00,-1976.00
[15:45:42.791] -273.00,-1583.00,-1943.00
[15:45:42.831] -386.00,-1602.00,-1897.00
[15:45:42.876] -460.00,-1600.00,-1866.00
[15:45:42.913] -523.00,-1660.00,-1832.00
[15:45:42.951] -547.00,-1642.00,-1822.00
[15:45:42.994] -565.00,-1616.00,-1822.00
[15:45:43.031] -590.00,-1592.00,-1822.00
