# Serial Log - 2026-04-11T15:57:40.345316
# Port: COM24 @ 115200bps
#============================================================
[15:57:40.633] -997.00
[15:58:01.829] -191.00,677.00,-10.00
[15:58:01.829] -380.00,658.00,-46.00
[15:58:01.859] -550.00,597.00,-115.00
[15:58:01.913] -707.00,540.00,-165.00
[15:58:01.970] -882.00,468.00,-277.00
[15:58:01.988] -971.00,421.00,-378.00
[15:58:02.034] -1068.00,328.00,-481.00
[15:58:02.072] -1151.00,228.00,-561.00
[15:58:02.099] -1261.00,41.00,-750.00
[15:58:02.138] -1330.00,-121.00,-855.00
[15:58:02.190] -1388.00,-281.00,-922.00
[15:58:02.230] -1408.00,-461.00,-942.00
[15:58:02.271] -1437.00,-645.00,-951.00
[15:58:02.311] -1437.00,-775.00,-920.00
[15:58:02.350] -1455.00,-925.00,-881.00
[15:58:02.391] -1435.00,-1058.00,-813.00
[15:58:02.431] -1425.00,-1170.00,-745.00
[15:58:02.471] -1413.00,-1215.00,-685.00
